".Riverside County, California","Riverside County, California",California,"2,470,546",2470546
".Sacramento County, California","Sacramento County, California",California,"1,552,058",1552058
".San Benito County, California","San Benito County, California",California,"62,808",62808
".San Bernardino County, California","San Bernardino County, California",California,"2,180,085",2180085
".San Diego County, California","San Diego County, California",California,"3,338,330",3338330
".San Francisco County, California","San Francisco County, California",California,"881,549",881549
".San Joaquin County, California","San Joaquin County, California",California,"762,148",762148
".San Luis Obispo County, California","San Luis Obispo County, California",California,"283,111",283111
".San Mateo County, California","San Mateo County, California",California,"766,573",766573
".Santa Barbara County, California","Santa Barbara County, California",California,"446,499",446499
".Santa Clara County, California","Santa Clara County, California",California,"1,927,852",1927852
".Santa Cruz County, California","Santa Cruz County, California",California,"273,213",273213
".Shasta County, California","Shasta County, California",California,"180,080",180080
".Sierra County, California","Sierra County, California",California,"3,005",3005
".Siskiyou County, California","Siskiyou County, California",California,"43,539",43539
".Solano County, California","Solano County, California",California,"447,643",447643
".Sonoma County, California","Sonoma County, California",California,"494,336",494336
".Stanislaus County, California","Stanislaus County, California",California,"550,660",550660
".Sutter County, California","Sutter County, California",California,"96,971",96971
".Tehama County, California","Tehama County, California",California,"65,084",65084
".Trinity County, California","Trinity County, California",California,"12,285",12285
".Tulare County, California","Tulare County, California",California,"466,195",466195
".Tuolumne County, California","Tuolumne County, California",California,"54,478",54478
".Ventura County, California","Ventura County, California",California,"846,006",846006
".Yolo County, California","Yolo County, California",California,"220,500",220500
".Yuba County, California","Yuba County, California",California,"78,668",78668
".Adams County, Colorado","Adams County, Colorado",Colorado,"517,421",517421
".Alamosa County, Colorado","Alamosa County, Colorado",Colorado,"16,233",16233
".Arapahoe County, Colorado","Arapahoe County, Colorado",Colorado,"656,590",656590
".Archuleta County, Colorado","Archuleta County, Colorado",Colorado,"14,029",14029
".Baca County, Colorado","Baca County, Colorado",Colorado,"3,581",3581
".Bent County, Colorado","Bent County, Colorado",Colorado,"5,577",5577
".Boulder County, Colorado","Boulder County, Colorado",Colorado,"326,196",326196
".Broomfield County, Colorado","Broomfield County, Colorado",Colorado,"70,465",70465
".Chaffee County, Colorado","Chaffee County, Colorado",Colorado,"20,356",20356
".Cheyenne County, Colorado","Cheyenne County, Colorado",Colorado,"1,831",1831
".Clear Creek County, Colorado","Clear Creek County, Colorado",Colorado,"9,700",9700
".Conejos County, Colorado","Conejos County, Colorado",Colorado,"8,205",8205
".Costilla County, Colorado","Costilla County, Colorado",Colorado,"3,887",3887
".Crowley County, Colorado","Crowley County, Colorado",Colorado,"6,061",6061
".Custer County, Colorado","Custer County, Colorado",Colorado,"5,068",5068
".Delta County, Colorado","Delta County, Colorado",Colorado,"31,162",31162
".Denver County, Colorado","Denver County, Colorado",Colorado,"727,211",727211
".Dolores County, Colorado","Dolores County, Colorado",Colorado,"2,055",2055
".Douglas County, Colorado","Douglas County, Colorado",Colorado,"351,154",351154
".Eagle County, Colorado","Eagle County, Colorado",Colorado,"55,127",55127
".Elbert County, Colorado","Elbert County, Colorado",Colorado,"26,729",26729
".El Paso County, Colorado","El Paso County, Colorado",Colorado,"720,403",720403
".Fremont County, Colorado","Fremont County, Colorado",Colorado,"47,839",47839
".Garfield County, Colorado","Garfield County, Colorado",Colorado,"60,061",60061
".Gilpin County, Colorado","Gilpin County, Colorado",Colorado,"6,243",6243
".Grand County, Colorado","Grand County, Colorado",Colorado,"15,734",15734
".Gunnison County, Colorado","Gunnison County, Colorado",Colorado,"17,462",17462
".Hinsdale County, Colorado","Hinsdale County, Colorado",Colorado,820,820
".Huerfano County, Colorado","Huerfano County, Colorado",Colorado,"6,897",6897
".Jackson County, Colorado","Jackson County, Colorado",Colorado,"1,392",1392
".Jefferson County, Colorado","Jefferson County, Colorado",Colorado,"582,881",582881
".Kiowa County, Colorado","Kiowa County, Colorado",Colorado,"1,406",1406
".Kit Carson County, Colorado","Kit Carson County, Colorado",Colorado,"7,097",7097
".Lake County, Colorado","Lake County, Colorado",Colorado,"8,127",8127
".La Plata County, Colorado","La Plata County, Colorado",Colorado,"56,221",56221
".Larimer County, Colorado","Larimer County, Colorado",Colorado,"356,899",356899
".Las Animas County, Colorado","Las Animas County, Colorado",Colorado,"14,506",14506
".Lincoln County, Colorado","Lincoln County, Colorado",Colorado,"5,701",5701
".Logan County, Colorado","Logan County, Colorado",Colorado,"22,409",22409
".Mesa County, Colorado","Mesa County, Colorado",Colorado,"154,210",154210
".Mineral County, Colorado","Mineral County, Colorado",Colorado,769,769
".Moffat County, Colorado","Moffat County, Colorado",Colorado,"13,283",13283
".Montezuma County, Colorado","Montezuma County, Colorado",Colorado,"26,183",26183
".Montrose County, Colorado","Montrose County, Colorado",Colorado,"42,758",42758
".Morgan County, Colorado","Morgan County, Colorado",Colorado,"29,068",29068
".Otero County, Colorado","Otero County, Colorado",Colorado,"18,278",18278
".Ouray County, Colorado","Ouray County, Colorado",Colorado,"4,952",4952
".Park County, Colorado","Park County, Colorado",Colorado,"18,845",18845
